23/04/1998,BGD,Storm,14,0
20/05/1998,BGD,Storm,19,0
22/09/1998,BGD,Flood,1050,4300000
25/11/1998,BGD,Storm,200,0
23/03/1998,BGD,Storm,28,0
03/07/1998,BGD,Storm,60,0
08/04/1999,BGD,Storm,7,0
26/03/1999,BGD,Storm,2,0
30/04/1999,BGD,Storm,3,0
03/08/1999,BGD,Flood,31,0
22/07/1999,BGD,Earthquake,6,0
15/08/1999,BGD,Flood,17,0
25/10/1999,BGD,Storm,0,0
10/04/1999,BGD,Storm,66,0
20/07/1999,BGD,Flood,82,0
05/08/1999,BGD,Flood,0,0
11/04/1999,BGD,Flood,66,0
05/07/1999,BGD,Storm,50,0
/01/2000,BGD,Extreme temperature ,49,0
02/01/2000,BGD,Earthquake,0,0
05/03/2000,BGD,Storm,0,0
21/04/2000,BGD,Storm,20,0
11/04/2000,BGD,Storm,0,0
19/06/2000,BGD,Storm,36,0
23/05/2000,BGD,Storm,28,0
24/06/2000,BGD,Flood,11,0
30/08/2000,BGD,Flood,1,0
/10/2000,BGD,Flood,31,500000
25/06/2000,BGD,Storm,0,0
28/10/2000,BGD,Storm,15,0
11/05/2001,BGD,Storm,12,0
01/04/2001,BGD,Storm,193,0
28/04/2001,BGD,Storm,21,0
05/06/2001,BGD,Flood,9,0
31/08/2001,BGD,Flood,0,0
05/10/2001,BGD,Storm,12,0
/12/2001,BGD,Extreme temperature ,6,0
25/03/2002,BGD,Storm,32,0
22/04/2002,BGD,Storm,31,0
/08/2002,BGD,Flood,10,0
14/07/2002,BGD,Storm,10,0
14/11/2002,BGD,Storm,49,0
/01/2003,BGD,Extreme temperature ,700,0
16/04/2003,BGD,Storm,9,0
04/05/2003,BGD,Storm,23,0
12/06/2003,BGD,Extreme temperature ,62,0
10/10/2003,BGD,Flood,187,0
03/07/2003,BGD,Flood,65,0
26/07/2003,BGD,Earthquake,2,0
/01/2004,BGD,Extreme temperature ,153,0
20/12/2003,BGD,Storm,28,0
15/04/2004,BGD,Storm,76,0
13/06/2004,BGD,Storm,153,0
03/08/2004,BGD,Flood,730,2200000
18/09/2004,BGD,Flood,20,0
18/10/2004,BGD,Flood,11,0
26/12/2004,BGD,Earthquake,2,500000
13/05/2004,BGD,Storm,10,0
17/07/2004,BGD,Storm,0,0
23/03/2005,BGD,Storm,79,0
31/03/2005,BGD,Storm,24,0
22/05/2005,BGD,Storm,10,0
28/05/2005,BGD,Flood,13,0
14/05/2005,BGD,Storm,2,0
06/05/2005,BGD,Storm,11,0
/07/2005,BGD,Extreme temperature ,0,0
27/07/2005,BGD,Flood,23,0
30/06/2005,BGD,Storm,35,0
20/09/2005,BGD,Storm,16,0
20/10/2005,BGD,Flood,19,0
/01/2006,BGD,Extreme temperature ,100,0
04/03/2006,BGD,Storm,4,0
24/07/2006,BGD,Flood,0,0
20/09/2006,BGD,Flood,0,0
05/10/2006,BGD,Storm,115,0
06/04/2006,BGD,Storm,9,0
08/04/2006,BGD,Storm,22,0
24/04/2006,BGD,Storm,4,0
/01/2007,BGD,Extreme temperature ,130,0
12/06/2007,BGD,Flood,120,14000
15/05/2007,BGD,Storm,41,0
03/08/2007,BGD,Flood,1110,100000
19/11/2007,BGD,Storm,4234,2300000
13/07/2008,BGD,Flood,16,0
08/09/2008,BGD,Flood,12,0
16/08/2008,BGD,Landslide,13,0
22/03/2008,BGD,Storm,12,0
27/10/2008,BGD,Storm,15,0
20/04/2009,BGD,Storm,7,0
26/05/2009,BGD,Storm,190,270000
06/07/2009,BGD,Flood,6,0
29/07/2009,BGD,Flood,10,0
31/01/2010,BGD,Extreme temperature ,135,0
/08/2009,BGD,Drought,0,0
14/04/2010,BGD,Storm,8,0
17/04/2010,BGD,Storm,3,0
15/06/2010,BGD,Landslide,66,0
24/06/2010,BGD,Flood,0,0
12/10/2010,BGD,Flood,15,0
02/05/2010,BGD,Storm,15,0
20/02/2011,BGD,Extreme temperature ,50,0
29/07/2011,BGD,Flood,10,0
18/12/2011,BGD,Extreme temperature ,12,0
04/07/2011,BGD,Landslide,17,0
04/04/2011,BGD,Storm,13,0
06/04/2012,BGD,Storm,25,0
02/07/2012,BGD,Flood,139,0
28/09/2012,BGD,Flood,0,0
10/10/2012,BGD,Storm,108,0
/02/2013,BGD,Extreme temperature ,72,0
22/03/2013,BGD,Storm,31,20000
30/03/2013,BGD,Storm,2,0
16/05/2013,BGD,Storm,17,0
28/04/2014,BGD,Storm,16,0
11/06/2014,BGD,Storm,4,0
10/09/2014,BGD,Flood,59,160000
/09/2014,BGD,Flood,0,0
07/04/2015,BGD,Storm,53,4000
25/04/2015,BGD,Earthquake,4,0
03/05/2015,BGD,Storm,13,0
30/06/2015,BGD,Flood,20,40000
27/07/2015,BGD,Flood,11,0
30/07/2015,BGD,Storm,45,40000
18/07/2015,BGD,Landslide,7,0
23/05/2015,BGD,Storm,6,0
03/01/2016,BGD,Earthquake,5,0
15/05/2016,BGD,Storm,59,0
21/05/2016,BGD,Storm,28,600000
02/08/2016,BGD,Flood,106,150000
22/09/1955,BRB,Storm,57,0
02/10/1970,BRB,Flood,3,500
11/08/1980,BRB,Storm,0,1500
03/10/1984,BRB,Flood,0,0
//1987,BRB,Storm,0,100000
18/09/1995,BRB,Storm,0,0
24/09/2002,BRB,Storm,0,200
08/09/2004,BRB,Storm,1,5000
29/11/2007,BRB,Earthquake,0,0
29/10/2010,BRB,Storm,0,0
/06/2010,BRB,Drought,0,0
12/08/1993,BLR,Flood,0,100000
/03/1996,BLR,Flood,0,0
23/06/1997,BLR,Storm,5,33000
10/04/1999,BLR,Flood,2,4380
/05/2000,BLR,Extreme temperature ,0,30300
/01/2006,BLR,Extreme temperature ,5,0
19/01/2007,BLR,Storm,0,10000
/02/2012,BLR,Extreme temperature ,0,0
/02/2013,BLR,Extreme temperature ,4,0
29/01/2014,BLR,Extreme temperature ,2,0
14/05/1906,BEL,Flood,6,0
/04/1906,BEL,Flood,0,0
//1926,BEL,Flood,0,0
//1928,BEL,Flood,0,0
02/12/1930,BEL,Storm,60,0
22/11/1930,BEL,Flood,0,0
31/01/1953,BEL,Flood,11,0
29/05/1956,BEL,Flood,4,0
//1963,BEL,Extreme temperature ,12,0
17/06/1966,BEL,Storm,0,0
25/06/1967,BEL,Storm,0,0
26/08/1971,BEL,Flood,0,0
/11/1972,BEL,Storm,0,0
02/01/1976,BEL,Storm,0,0
