Date,ISO,Type,Death,Dollars
18/03/1990,AUS,Storm,0,389100
25/12/1990,AUS,Flood,6,78200
08/11/1991,AUS,Storm,0,1560
12/02/1992,AUS,Storm,0,103100
/12/1992,AUS,Drought,0,1500000
/02/1993,AUS,Extreme temperature ,17,0
/12/1993,AUS,Storm,0,0
25/05/1994,AUS,Storm,2,77600
19/01/1994,AUS,Storm,22,0
/01/1994,AUS,Extreme temperature ,5,0
/11/1994,AUS,Storm,2,0
/02/1995,AUS,Storm,7,98000
/11/1995,AUS,Extreme temperature ,1,0
/12/1995,AUS,Storm,0,28000
27/09/1996,AUS,Landslide,9,0
/02/1996,AUS,Storm,0,9333
/04/1996,AUS,Storm,0,46700
29/09/1996,AUS,Storm,0,317300
04/02/1997,AUS,Flood,0,0
07/10/1997,AUS,Wildfire,0,0
01/01/1998,AUS,Flood,2,61300
05/03/1998,AUS,Flood,0,0
17/07/1998,AUS,Flood,14,100000
/01/1999,AUS,Wildfire,1,0
19/03/1999,AUS,Storm,1,200000
14/07/1999,AUS,Storm,0,196300
03/04/2000,AUS,Storm,0,60000
17/11/2000,AUS,Flood,0,265000
/01/2001,AUS,Flood,1,12000
18/01/2001,AUS,Storm,1,0
18/02/2001,AUS,Flood,0,13000
26/04/2001,AUS,Storm,0,0
25/12/2001,AUS,Wildfire,0,90000
19/09/2002,AUS,Storm,0,0
05/12/2002,AUS,Storm,0,0
08/01/2003,AUS,Wildfire,4,300000
05/02/2003,AUS,Flood,1,2000
18/05/2003,AUS,Storm,0,0
24/10/2003,AUS,Storm,0,0
03/12/2003,AUS,Storm,0,93000
14/01/2004,AUS,Flood,0,32000
19/10/2004,AUS,Flood,0,5500
08/12/2004,AUS,Flood,3,15000
08/12/2004,AUS,Flood,3,15000
30/03/2006,AUS,Storm,0,0
16/11/2006,AUS,Wildfire,0,0
/10/2006,AUS,Drought,0,0
02/03/2007,AUS,Storm,2,100000
02/03/2007,AUS,Storm,2,100000
02/03/2007,AUS,Storm,2,100000
27/01/2009,AUS,Extreme temperature ,347,0
06/03/2010,AUS,Storm,0,1330000
21/03/2010,AUS,Storm,1,0
01/09/2010,AUS,Flood,0,0
25/12/2010,AUS,Flood,35,7300000
14/03/2011,AUS,Flood,0,0
22/01/2012,AUS,Flood,2,225000
23/01/2013,AUS,Storm,6,2000000
18/10/2013,AUS,Wildfire,2,268000
13/01/2014,AUS,Extreme temperature ,139,0
22/11/2014,AUS,Storm,0,1000000
20/02/2015,AUS,Storm,0,78000
12/03/2015,AUS,Storm,0,57000
25/11/2015,AUS,Wildfire,2,200000
30/04/2015,AUS,Flood,6,400000
04/06/2016,AUS,Storm,5,500000
09/02/2017,AUS,Wildfire,0,20000
06/03/2017,AUS,Storm,0,490000
//1939,AUS,"Land fire (Brush, Bush, Pastur",0,0
/02/1955,AUS,--,0,0
//1967,AUS,Drought,600000,0
/11/1968,AUS,"Land fire (Brush, Bush, Pastur",1000,0
09/02/1971,AUS,Riverine flood,20000,0
/12/1973,AUS,--,71000,0
/01/1974,AUS,Tropical cyclone,296717,Wanda
/12/1974,AUS,Drought,0,0
/01/1975,AUS,"Land fire (Brush, Bush, Pastur",0,0
/12/1975,AUS,Tropical cyclone,63861,Joan
10/01/1976,AUS,Convective storm,13037,0
10/11/1976,AUS,--,38024,0
/02/1976,AUS,Tropical cyclone,8257,Beth
//1976,AUS,Drought,0,0
/01/1977,AUS,Convective storm,38680,0
/02/1977,AUS,"Land fire (Brush, Bush, Pastur",22592,0
/12/1977,AUS,"Land fire (Brush, Bush, Pastur",2168,0
/03/1978,AUS,--,17258,0
/10/1978,AUS,--,3797,0
/03/1978,AUS,--,11620,0
//1978,AUS,Drought,0,0
/02/1979,AUS,"Land fire (Brush, Bush, Pastur",4090,0
/11/1979,AUS,Convective storm,18683,0
/02/1980,AUS,Tropical cyclone,40026,Dean
/02/1980,AUS,Tropical cyclone,4605,Enid
/12/1980,AUS,--,29399,0
/08/1981,AUS,--,150000,0
10/09/1931,BLZ,Tropical cyclone,7500,0
30/10/1961,BLZ,Tropical cyclone,60000,Hattie
18/09/1978,BLZ,Tropical cyclone,6000,Greta
//1990,BLZ,Cold wave,2250,0
/10/1995,BLZ,--,500,0
30/09/2000,BLZ,Tropical cyclone,277460,Keith
21/08/2001,BLZ,Tropical cyclone,0,Chantal
14/11/2005,BLZ,Tropical cyclone,0,Gamma
31/05/2008,BLZ,Tropical cyclone,0,Arthur
25/09/2010,BLZ,Tropical cyclone,0,Tropical storm Matthew
04/08/2016,BLZ,Tropical cyclone,0,Tropical storm Earl
/09/1970,BEN,--,200,0
/01/1983,BEN,Drought,651,0
//1984,BEN,"Land fire (Brush, Bush, Pastur",0,0
/09/1988,BEN,Riverine flood,0,0
/09/1994,BEN,--,0,0
29/09/1996,BEN,--,0,0
/08/1998,BEN,--,0,0
/07/2007,BEN,Riverine flood,0,0
/05/2009,BEN,Convective storm,0,0
/08/2009,BEN,Riverine flood,0,0
20/06/2011,BEN,Riverine flood,0,0
05/09/2013,BEN,Flash flood,0,0
12/10/1948,BMU,Tropical cyclone,0,0
/01/1986,BMU,Convective storm,1500,0
08/08/1989,BMU,Tropical cyclone,0,Dean
/05/1994,BTN,Tropical cyclone,0,0
/01/1999,BTN,Forest fire,3500,0
05/07/2004,BTN,Riverine flood,0,0
21/09/2009,BTN,Ground movement,0,0
22/12/1965,BOL,Flash flood,100,0
29/06/1966,BOL,--,118,0
/02/1974,BOL,--,10500,0
//1977,BOL,Drought,0,0
/12/1978,BOL,--,0,0
/03/1982,BOL,--,400000,0
17/03/1983,BOL,Flash flood,48400,0
/12/1983,BOL,Drought,500000,0
25/02/1985,BOL,Riverine flood,0,0
/02/1987,BOL,Riverine flood,0,0
//1990,BOL,Drought,0,0
08/12/1992,BOL,Mudslide,400000,0
/02/1994,BOL,Landslide,0,0
/12/1994,BOL,Drought,0,0
/12/1994,BOL,Drought,0,0
22/05/1998,BOL,Ground movement,0,0
13/08/1999,BOL,"Land fire (Brush, Bush, Pastur",0,0
/07/2000,BOL,Cold wave,0,0
/07/2000,BOL,Cold wave,0,0
/09/2005,BOL,Forest fire,0,0
25/01/2006,BOL,Riverine flood,35000,0
/07/2007,BOL,Severe winter conditions,0,0
/07/2007,BOL,Severe winter conditions,0,0
/08/2013,BOL,Heat wave,0,0
/10/2013,BOL,Riverine flood,0,0
01/01/2014,BOL,Landslide,200000,0
01/01/2014,BOL,Landslide,200000,0
06/04/2004,BIH,Riverine flood,0,0
/02/2005,BIH,Convective storm,0,0
15/07/2007,BIH,Heat wave,0,0
01/02/2009,BIH,Riverine flood,0,0
20/06/2010,BIH,Riverine flood,87000,0
19/12/2010,BIH,Cold wave,0,0
19/04/2014,BIH,Riverine flood,0,0
06/08/2014,BIH,Riverine flood,0,0
14/10/2015,BIH,Flash flood,0,0
/06/1968,BWA,Drought,1000,0
19/01/1972,BWA,--,50,0
/02/1988,BWA,Riverine flood,0,0
19/02/1995,BWA,Flash flood,0,0
01/02/2004,BWA,Riverine flood,0,0
10/05/2009,BWA,Riverine flood,0,0
/03/2011,BWA,Riverine flood,0,0
/07/2015,BWA,Drought,44000,0
/05/1949,BRA,--,0,0
/03/1956,BRA,Landslide,0,0
/08/1959,BRA,--,0,0
/01/1964,BRA,--,0,0
05/07/1964,BRA,--,500,0
16/08/1965,BRA,--,10000,0
11/01/1966,BRA,Landslide,27,0
/01/1966,BRA,--,0,0
23/01/1967,BRA,--,7800,0
30/03/1967,BRA,--,5000,0
28/12/1967,BRA,--,1500,0
14/03/1969,BRA,Flash flood,5770,0
/08/1970,BRA,Drought,100,0
26/04/1971,BRA,--,5200,0
/03/1974,BRA,--,121000,0
23/10/1974,BRA,Landslide,0,0
18/07/1975,BRA,--,254900,0
/05/1977,BRA,--,0,0
09/08/1977,BRA,--,0,0
//1977,BRA,Drought,0,0
//1978,BRA,Drought,2300000,0
//1979,BRA,Drought,0,0
/02/1980,BRA,--,0,0
/04/1981,BRA,--,0,0
/06/1982,BRA,--,0,0
/05/1983,BRA,--,338000,0
/09/1983,BRA,Drought,0,0
/06/1984,BRA,--,1000000,0
09/10/1984,BRA,Convective storm,0,0
/05/1984,BRA,--,0,0
30/09/1985,BRA,Convective storm,0,0
/11/1985,BRA,Drought,651000,0
30/11/1986,BRA,Ground movement,5000,0
25/12/1987,BRA,--,0,0
02/02/1988,BRA,Riverine flood,1000000,0
/07/1988,BRA,Riverine flood,30000,0
/02/1988,BRA,Drought,0,0
19/07/1989,BRA,Riverine flood,0,0
20/05/1989,BRA,Mudslide,0,0
27/04/1989,BRA,Landslide,0,0
29/07/1989,BRA,--,0,0
18/04/1990,BRA,Riverine flood,0,0
10/01/1991,BRA,Landslide,0,0
04/01/1992,BRA,Riverine flood,0,0
01/04/1992,BRA,Riverine flood,0,0
24/06/1994,BRA,Cold wave,475000,0
15/05/1994,BRA,Convective storm,70000,0
07/02/1995,BRA,Mudslide,0,0
31/05/1995,BRA,Landslide,0,0
25/12/1995,BRA,Riverine flood,3000,0
20/02/1996,BRA,Mudslide,0,0
29/04/1996,BRA,Landslide,0,0
22/01/1997,BRA,Riverine flood,0,0
15/10/1997,BRA,Riverine flood,0,0
15/03/1998,BRA,"Land fire (Brush, Bush, Pastur",36000,0
//1998,BRA,--,0,0
11/09/1998,BRA,Forest fire,0,0
/04/1998,BRA,Drought,122000,0
21/05/1999,BRA,Mudslide,0,0
01/01/2000,BRA,Riverine flood,0,0
30/07/2000,BRA,Mudslide,75000,0
12/10/2000,BRA,Riverine flood,0,0
25/04/2001,BRA,Riverine flood,0,0
24/12/2001,BRA,Flash flood,45000,0
/06/2001,BRA,Drought,0,0
12/06/2002,BRA,Riverine flood,0,0
21/12/2002,BRA,Mudslide,0,0
14/01/2003,BRA,Riverine flood,0,0
29/11/2003,BRA,Riverine flood,0,0
11/01/2003,BRA,Riverine flood,0,0
01/06/2004,BRA,Riverine flood,370,0
/07/2004,BRA,Cold wave,0,0
03/01/2005,BRA,Convective storm,0,0
01/06/2005,BRA,Riverine flood,0,0
27/01/2006,BRA,Flash flood,0,0
01/01/2007,BRA,Flash flood,125000,0
24/09/2007,BRA,--,0,0
09/12/2007,BRA,Ground movement,0,0
12/01/2008,BRA,Riverine flood,0,0
30/03/2008,BRA,Riverine flood,360000,0
22/11/2008,BRA,Riverine flood,750000,0
22/04/2009,BRA,Riverine flood,550000,0
20/06/2009,BRA,Riverine flood,0,0
12/11/2009,BRA,Riverine flood,0,0
02/11/2009,BRA,Riverine flood,0,0
/02/2010,BRA,Heat wave,0,0
19/06/2010,BRA,Riverine flood,602000,0
/10/2010,BRA,Drought,0,0
12/03/2011,BRA,Riverine flood,0,0
08/05/2011,BRA,Riverine flood,0,0
/09/2011,BRA,Riverine flood,0,0
/12/2011,BRA,Riverine flood,2000,0
01/05/2012,BRA,Riverine flood,171000,0
01/01/2013,BRA,Riverine flood,2000,0
21/09/2013,BRA,Convective storm,90000,0
12/12/2013,BRA,Riverine flood,0,0
12/01/2014,BRA,Flash flood,0,0
07/06/2014,BRA,Riverine flood,0,0
/01/2014,BRA,Drought,5000000,0
27/04/2015,BRA,Landslide,0,0
10/07/2015,BRA,--,0,0
20/12/2015,BRA,Riverine flood,0,0
10/03/2016,BRA,Flash flood,100000,0
14/04/1928,BGR,Ground movement,0,0
04/03/1977,BGR,Ground movement,0,0
/05/1983,BGR,Drought,0,0
30/05/1990,BGR,Ground movement,0,0
14/12/1997,BGR,Riverine flood,0,0
16/05/1999,BGR,Convective storm,0,0
/06/2000,BGR,Heat wave,50,0
/03/2000,BGR,Drought,0,0
24/12/2001,BGR,--,0,0
/01/2005,BGR,Convective storm,0,0
02/07/2005,BGR,Riverine flood,247000,0
21/09/2005,BGR,Riverine flood,0,0
04/08/2005,BGR,Riverine flood,0,0
10/04/2006,BGR,Riverine flood,0,0
22/05/2007,BGR,Riverine flood,0,0
04/08/2007,BGR,Riverine flood,0,0
25/08/2007,BGR,--,0,0
/01/2008,BGR,Cold wave,0,0
04/12/2010,BGR,Riverine flood,0,0
01/02/2012,BGR,Riverine flood,4400,0
01/12/2012,BGR,Cold wave,0,0
19/06/2014,BGR,Riverine flood,377000,0
04/09/2014,BGR,Riverine flood,10000,0
01/02/2015,BGR,Riverine flood,5800,0
//1940,BFA,Drought,0,0
/04/1969,BFA,Drought,0,0
/09/1977,BFA,--,0,0
/10/1984,BFA,--,0,0
/08/1988,BFA,Riverine flood,0,0
/12/1990,BFA,Drought,0,0
/12/1995,BFA,Drought,0,0
/08/1999,BFA,Flash flood,0,0
10/08/2003,BFA,Riverine flood,0,0
12/09/2006,BFA,Riverine flood,0,0
/07/2008,BFA,Flash flood,0,0
/06/2009,BFA,Riverine flood,0,0
21/07/2010,BFA,Riverine flood,176,0
15/06/2012,BFA,Riverine flood,0,0
/05/2014,BFA,Drought,0,0
21/06/2016,BFA,Riverine flood,0,0
//1910,BFA,Drought,0,0
/07/1966,BFA,Drought,0,0
//1977,BFA,Drought,0,0
/11/1980,BFA,Drought,0,0
11/06/1985,BFA,--,0,0
//1988,BFA,Drought,0,0
//1994,BFA,--,0,0
/03/1998,BFA,Drought,0,0
/04/2001,BFA,Drought,0,0
03/08/2006,BFA,Flash flood,0,0
26/07/2007,BFA,Riverine flood,0,0
/08/2008,BFA,Riverine flood,0,0
01/09/2009,BFA,Riverine flood,150000,0
/12/2011,BFA,Drought,0,0
15/08/2013,BFA,Riverine flood,0,0
04/08/2015,BFA,Riverine flood,31000,0
02/02/1989,BDI,--,0,0
/10/1999,BDI,Drought,0,0
06/05/2002,BDI,Riverine flood,0,0
/09/2003,BDI,Drought,0,0
20/02/2004,BDI,--,0,0
24/02/2004,BDI,Ground movement,0,0
/01/2005,BDI,Drought,0,0
24/04/2006,BDI,Flash flood,0,0
17/05/2006,BDI,Riverine flood,0,0
26/08/2006,BDI,Riverine flood,0,0
01/01/2007,BDI,Riverine flood,0,0
10/04/2008,BDI,Riverine flood,0,0
/09/2008,BDI,Drought,0,0
/12/2009,BDI,Drought,0,0
/02/2010,BDI,Riverine flood,0,0
//2011,BDI,Drought,0,0
20/03/2011,BDI,Riverine flood,0,0
29/03/2015,BDI,Landslide,0,0
//1900,CPV,Drought,0,0
//1920,CPV,Drought,0,0
//1946,CPV,Drought,0,0
//1982,CPV,Drought,0,0
16/09/1984,CPV,Tropical cyclone,0,Fran
03/04/1995,CPV,Ash fall,0,Fogo
/06/2002,CPV,Drought,0,0
13/11/2014,CPV,Lava flow,0,Pico do Fogo
//1987,KHM,Drought,0,0
31/07/1994,KHM,--,0,0
30/09/1996,KHM,Riverine flood,1500,0
02/08/1999,KHM,Flash flood,500,0
11/07/2000,KHM,Riverine flood,160000,0
/09/2001,KHM,Drought,0,0
/01/2002,KHM,Drought,38000,0
08/09/2005,KHM,Riverine flood,0,0
06/07/2006,KHM,Riverine flood,0,0
10/08/2007,KHM,Riverine flood,1000,0
02/11/2009,KHM,Tropical cyclone,0,"Tropical storm ""Mirinae"" (Santi)"
10/08/2011,KHM,Riverine flood,521000,0
24/09/2013,KHM,Riverine flood,500000,0
/05/2016,KHM,Drought,0,0
15/08/1984,CMR,Ash fall,0,Volcanic lake Monoum
/08/1988,CMR,Riverine flood,0,0
13/08/1991,CMR,Riverine flood,0,0
04/04/1999,CMR,Ash fall,0,Mont Cameroon
03/08/2000,CMR,Riverine flood,0,0
/01/2001,CMR,Drought,0,0
19/08/2005,CMR,Riverine flood,0,0
02/08/2007,CMR,--,0,0
22/07/2010,CMR,Riverine flood,0,0
27/08/2012,CMR,Riverine flood,0,0
17/09/2013,CMR,Flash flood,0,0
22/06/2015,CMR,--,0,0
13/08/1905,CAN,Rockfall,0,0
05/03/1910,CAN,Avalanche,0,0
30/06/1912,CAN,Convective storm,5000,0
30/09/1922,CAN,Forest fire,8000,0
/01/1931,CAN,Drought,0,0
17/06/1946,CAN,--,500,0
05/05/1950,CAN,--,100000,0
12/11/1955,CAN,Landslide,0,0
/01/1961,CAN,Drought,0,0
18/02/1965,CAN,--,0,0
20/08/1970,CAN,--,0,0
04/03/1971,CAN,Convective storm,0,0
//1974,CAN,--,75000,0
25/07/1975,CAN,--,2500,0
28/01/1977,CAN,--,0,0
/04/1979,CAN,--,19000,0
28/07/1981,CAN,Convective storm,79000,0
07/12/1983,CAN,Coastal flood,58000,0
/07/1985,CAN,Forest fire,0,0
14/05/1986,CAN,--,0,0
15/05/1986,CAN,Forest fire,0,0
31/07/1987,CAN,Convective storm,265000,0
14/07/1987,CAN,--,174000,0
/01/1988,CAN,Drought,810000,0
/01/1989,CAN,Forest fire,4200000,0
07/09/1991,CAN,Convective storm,500000,0
/12/1992,CAN,Cold wave,2000000,0
24/07/1994,CAN,Forest fire,0,0
01/08/1994,CAN,Convective storm,3000,0
09/06/1995,CAN,--,73300,0
11/09/1995,CAN,Tropical cyclone,100000,Luis
